Item (EN),Category/Department (EN),Description (EN),Variant Name
Fitness Loop,Loops / Bands,"The fitness loop is ideal for adding both resistance and assistance to your workout routine, adds variety to your workout, great for warm up exercises pre-workout; As it helps prevent any possible injuries and primes you for your workout session. The product works on improving your mobility (range of motion). Is also ideal for, body building and aerobic exercises. The product is eco-friendly as its made from natural latex rubber.",3.2cm
"Body Sculpture Hex Dumbbell, Rubber with Iron Handles, Multi Weights",Dumbbells and Kettlebells,"The hex dumbbells are ideal for training at home. Lift the workout to the next level and perform exercises for: Biceps, triceps, shoulders, chest, back and legs by using the hexagonal dumbbells. Protect any surface from scratches by the soft rubber with which the ends are exaggerated. The knurled grip on the chrome handles ensures stability and easy gripping. These dumbbells are also designed to be used as push up bars. Please note: These dumbbells are sold in singles.",2kg
"Body Sculpture Hex Dumbbell, Rubber with Iron Handles, Multi Weights",Dumbbells and Kettlebells,"The hex dumbbells are ideal for training at home. Lift the workout to the next level and perform exercises for: Biceps, triceps, shoulders, chest, back and legs by using the hexagonal dumbbells. Protect any surface from scratches by the soft rubber with which the ends are exaggerated. The knurled grip on the chrome handles ensures stability and easy gripping. These dumbbells are also designed to be used as push up bars. Please note: These dumbbells are sold in singles.",3kg
"Body Sculpture Hex Dumbbell, Rubber with Iron Handles, Multi Weights",Dumbbells and Kettlebells,"The hex dumbbells are ideal for training at home. Lift the workout to the next level and perform exercises for: Biceps, triceps, shoulders, chest, back and legs by using the hexagonal dumbbells. Protect any surface from scratches by the soft rubber with which the ends are exaggerated. The knurled grip on the chrome handles ensures stability and easy gripping. These dumbbells are also designed to be used as push up bars. Please note: These dumbbells are sold in singles.",9kg
Rubber Yoga Mat,Yoga Mat,"The rubber yoga mat benefits the user in ease of movement, with its soft and extra slip resistance material for excellent traction and stability. It is easy to clean and washable.",
MMA Gloves,Boxing Gloves,"Constructed with a durable PU leather from the exterior to endure long-lasting training sessions and sparring, along with knuckle padding from EVA foam material. Provided with climacool technology to keep the athletes hand cool and dry. Presented with adjustable and firm velcro closing system. The speed fight gloves is available in different sizes: S, m, l, and xl.",L
MMA Gloves,Boxing Gloves,"Constructed with a durable PU leather from the exterior to endure long-lasting training sessions and sparring, along with knuckle padding from EVA foam material. Provided with climacool technology to keep the athletes hand cool and dry. Presented with adjustable and firm velcro closing system. The speed fight gloves is available in different sizes: S, m, l, and xl.",S
Super Pro Shin-n-Ship Guard,Shin Guard,Adidas Super Pro Shin-n-Ship is constructed of flx 3.0 PU leather from the outer surface. Provided with i-comfort + for maximum comfort and quick drying fabric lining. Added with durable EVA foam padding and gel insert on the front. These shin guards have foot protection and twin hook and loop strap for a perfect fit. The product is available in different colors and sizes.,L
Sandbag with Chains 180,Punching Bag,Punching bag made of resistant PU with woven backing. Suspended by metal chains and ‘d’ metal ring for hanging the bag on ceiling. Auto-lock slider zipper. This accessory has been filled with textile cuttings only and electronically scanned for your protection. Nice adidas logo printed on the bag. Specifications: Suspended by metal chains with ‘d’ metal ring for hanging the bag on ceiling. Auto-locking slider zipper. This punch bag has been filled with textile cuttings only and electronically scanned for your protection. Dimensions: 180 x 33 cm.,
Body Sculpture Leather Weight Lifting Gloves,Body Sculpture,"The leather weight lifting gloves is ideal for weight-lifting sessions. As it protects your fingers from any possible injury or irritation during working out, it features wrist straps designed to aid with wrist support for lifting weights, performing cross training, olympic lifts like snatches, clean and jerks, front squats, and other various lifts requiring wrist protection. The design also features a padded palm for maximum comfort for the user.",S
